result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
SINGLE,96.6,12,17.5683505,212,line_drive
OUT,38.3,-34,-24.40119964,4,ground_ball
OUT,80.8,-17,38.82480644,5,ground_ball
SINGLE,44.9,-54,-55.94797395,1,ground_ball
OUT,89.4,-3,-42.18385987,25,ground_ball
OUT,98.8,28,12.06309269,378,fly_ball
OUT,106.8,7,-19.68307152,171,line_drive
SINGLE,106.1,12,-2.993695117,263,line_drive
OUT,95.2,-13,-18.79752867,7,ground_ball
SINGLE,106.4,8,-28.04671248,223,line_drive
OUT,86.5,-19,-40.49545564,6,ground_ball
OUT,102.5,17,24.08707033,320,line_drive
OUT,84.5,-18,-38.99021102,7,ground_ball
SINGLE,105.2,7,-16.86877389,174,line_drive
OUT,95.1,23,33.37846533,309,line_drive
OUT,107.2,4,20.09498733,90,ground_ball
OUT,59.6,57,67.85938699,132,popup
SINGLE,99.3,8,-2.760974848,171,line_drive
OUT,82.1,44,26.14492467,268,fly_ball
OUT,94.7,56,31.50708817,238,fly_ball
HR,105.4,35,4.629165579,414,fly_ball
OUT,76.8,-43,-30.04448299,2,ground_ball
OUT,88.8,-32,45.42135082,3,ground_ball
OUT,76.4,44,40.38036408,247,fly_ball
SINGLE,84.1,12,13.03828968,214,line_drive
OUT,102.6,-3,3.481141056,35,ground_ball
SINGLE,84.4,13,-13.61841585,217,line_drive
SINGLE,105,5,33.89428355,109,ground_ball
SINGLE,78.2,21,23.46324098,236,line_drive
OUT,86.6,37,32.9664515,295,fly_ball
OUT,86.8,35,29.9584206,307,fly_ball
OUT,79.2,-30,50.58918504,3,ground_ball
OUT,104.6,5,5.229754734,121,line_drive
OUT,69.9,60,-17.4829821,162,popup
HR,105.3,24,-33.00571483,381,fly_ball
OUT,84.5,54,43.7842474,208,fly_ball
SINGLE,102.4,6,18.46080932,135,ground_ball
SINGLE,82.7,15,21.48041984,199,line_drive
OUT,95.7,41,13.304969,315,fly_ball
OUT,87.4,34,43.01689747,311,fly_ball
OUT,74.5,3,30.5601109,46,ground_ball
OUT,89.3,54,-8.300567283,203,fly_ball
OUT,90.6,21,-2.887398658,307,line_drive
OUT,98.5,45,-12.32684633,311,fly_ball
HR,98.2,27,47.4082417,368,fly_ball
OUT,78.2,12,6.347382095,169,line_drive
OUT,96.8,-22,2.95881433,6,ground_ball
OUT,72.6,38,-22.04536205,241,fly_ball
OUT,93.3,31,16.05718857,347,fly_ball
HR,100.9,27,27.4655952,393,fly_ball
OUT,95,33,-20.57150243,366,fly_ball
OUT,84.8,-10,28.76925872,8,ground_ball
SINGLE,76.3,19,31.20058142,216,line_drive
SINGLE,101.5,5,-3.630155035,121,ground_ball
OUT,57.9,-28,-21.64511249,4,ground_ball
OUT,81.4,68,25.45704593,104,popup
OUT,61.7,60,-9.73607346,126,popup
DOUBLE,102,14,-47.48205278,258,line_drive
OUT,89.3,30,15.89248409,334,fly_ball
OUT,99.1,33,22.71857556,358,fly_ball
OUT,95.2,16,-36.38866267,282,line_drive
OUT,104.2,1,23.00157622,53,ground_ball
OUT,90.1,-32,-38.69925099,3,ground_ball
SINGLE,85.8,5,34.96898123,100,ground_ball
DOUBLE,108.9,20,0.243408416,391,line_drive
