result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,is_theoretical_fair
OUT,91.1,35,-0.6877428834862883,352.0,fly_ball,1
SINGLE,78.3,-48,-11.313752956745292,1.0,ground_ball,1
OUT,92.9,35,21.086038753661484,343.0,fly_ball,1
OUT,88.8,42,23.140820211786064,305.0,fly_ball,1
OUT,94.1,31,23.86277676271873,346.0,fly_ball,1
SINGLE,93.0,19,-16.440219972073404,284.0,line_drive,1
SINGLE,73.8,5,-26.99552916911556,66.0,ground_ball,1
SINGLE,94.2,13,-15.014181461740092,204.0,line_drive,1
OUT,87.8,72,-32.28123484795908,87.0,popup,1
OUT,85.4,53,37.82255586343501,226.0,fly_ball,1
OUT,84.6,1,4.702243059934286,55.0,ground_ball,1
DOUBLE,89.6,10,49.12350204896908,185.0,line_drive,0
SINGLE,95.4,10,20.823821108734265,208.0,line_drive,1
OUT,74.4,4,-21.18280716873732,71.0,ground_ball,1
OUT,114.7,-1,-22.64443206280032,34.0,ground_ball,1
SINGLE,107.8,8,-7.179061596236762,232.0,line_drive,1
OUT,45.9,-15,-28.458437022824263,10.0,ground_ball,1
OUT,96.5,36,-15.356144779784644,358.0,fly_ball,1
OUT,80.1,69,-33.83308442128748,130.0,popup,1
OUT,101.7,-2,-9.050903176451229,42.0,ground_ball,1
SINGLE,98.1,5,39.7165952904134,104.0,ground_ball,1
OUT,61.5,-3,48.52793335750359,29.0,ground_ball,0
